iter	Passed	Remaining
653	71096	37613
654	71194	37499
655	71345	37412
656	71449	37301
657	71527	37176
658	71645	37073
659	71747	36960
660	71839	36843
661	71993	36757
662	72111	36654
663	72227	36548
664	72318	36431
665	72426	36322
666	72570	36230
667	72672	36118
668	72748	35993
669	72885	35898
670	72971	35778
671	73045	35653
672	73160	35547
673	73295	35451
674	73394	35338
675	73512	35233
676	73616	35122
677	73715	35009
678	73800	34889
679	73893	34773
680	74011	34669
681	74138	34569
682	74230	34452
683	74317	34333
684	74377	34202
685	74489	34095
686	74607	33991
687	74720	33884
688	74831	33777
689	74917	33658
690	75029	33551
691	75149	33448
692	75238	33330
693	75333	33216
694	75443	33108
695	75564	33005
696	75663	32892
697	75742	32771
698	75876	32673
699	75996	32569
700	76068	32445
701	76181	32339
702	76298	32234
703	76403	32124
704	76507	32013
705	76603	31900
706	76703	31787
707	76815	31681
708	76951	31583
709	77019	31458
710	77138	31354
711	77246	31245
712	77379	31147
713	77526	31054
714	77695	30969
715	77795	30857
716	77923	30756
717	78021	30643
718	78121	30531
719	78252	30431
720	78379	30330
721	78449	30206
722	78641	30129
723	78733	30014
724	78827	29900
725	78947	29795
726	79042	29681
727	79138	29568
728	79267	29467
729	79344	29346
730	79428	29228
731	79585	29137
732	79694	29029
733	79821	28927
734	79927	28817
735	80017	28701
736	80136	28596
737	80250	28490
738	80371	28385
739	80483	28278
740	80557	28157
741	80690	28056
742	80803	27949
743	80934	27848
744	81017	27730
745	81137	27625
746	81340	27549
747	81456	27442
748	81537	27324
749	81635	27211
750	81724	27096
751	81870	26999
752	82027	26906
753	82114	26790
754	82215	26679
755	82333	26573
756	82520	26489
757	82613	26375
758	82735	26270
759	82842	26160
760	82931	26045
761	83061	25943
762	83151	25828
763	83240	25712
764	83369	25610
765	83473	25499
766	83596	25395
767	83748	25298
768	83837	25184
769	83960	25079
770	84047	24963
771	84132	24847
772	84249	24740
773	84341	24626
774	84416	24508
775	84521	24397
776	84753	24324
777	84897	24225
778	84991	24111
779	85089	23999
780	85197	23890
781	85305	23780
782	85396	23666
783	85521	23562
784	85657	23460
785	85788	23357
786	85874	23241
787	85983	23132
788	86106	23027
789	86205	22915
